Level,Cpm,Stardust
1,0.094,200
1.5,0.135137432,200
2,0.16639787,200
2.5,0.192650919,200
3,0.21573247,400
3.5,0.236572661,400
4,0.25572005,400
4.5,0.273530381,400
5,0.29024988,600
5.5,0.306057377,600
6,0.3210876,600
6.5,0.335445036,600
7,0.34921268,800
7.5,0.362457751,800
8,0.37523559,800
8.5,0.387592406,800
9,0.39956728,1000
9.5,0.411193551,1000
10,0.42250001,1000
10.5,0.432926419,1000
11,0.44310755,1300
11.5,0.4530599578,1300
12,0.46279839,1300
12.5,0.472336083,1300
13,0.48168495,1600
13.5,0.4908558,1600
14,0.49985844,1600
14.5,0.508701765,1600
15,0.51739395,1900
15.5,0.525942511,1900
16,0.53435433,1900
16.5,0.542635767,1900
17,0.55079269,2200
17.5,0.55830576,2200
18,0.56675452,2200
18.5,0.574569153,2200
19,0.58227891,2500
19.5,0.589887917,2500
20,0.59740001,2500
20.5,0.604818814,2500
21,0.61215729,3000
21.5,0.619399365,3000
22,0.62656713,3000
22.5,0.633644533,3000
23,0.64065295,3500
23.5,0.647576426,3500
24,0.65443563,3500
24.5,0.661214806,3500
25,0.667934,4000
25.5,0.674577537,4000
26,0.68116492,4000
26.5,0.687680648,4000
27,0.69414365,4500
27.5,0.700538673,4500
28,0.70688421,4500
28.5,0.713164996,4500
29,0.71939909,5000
29.5,0.725571552,5000
30,0.7317,5000
30.5,0.734741009,5000
31,0.73776948,6000
31.5,0.740785574,6000
32,0.74378943,6000
32.5,0.746781211,6000
33,0.74976104,7000
33.5,0.752729087,7000
34,0.75568551,7000
34.5,0.758630378,7000
35,0.76156384,8000
35.5,0.764486065,8000
36,0.76739717,8000
36.5,0.770297266,8000
37,0.7731865,9000
37.5,0.776064962,9000
38,0.77893275,9000
38.5,0.781790055,9000
39,0.78463697,10000
39.5,0.787473578,10000
40,0.79030001,10000
